Airline,Date,Source_Airport,Destination_Airport,Route,Departure_Time,Arrival_Time,Duration,Stops_Number,Price
LOT,6/6/2022,TLV,VCE,WAW,5:05,11:20,7h 15m,1 stop,599
Aegean Airlines,6/6/2022,TLV,FCO,ATH,5:10,9:35,5h 25m,1 stop,610
Ryanair,6/6/2022,TLV,NAP,VIE,12:00,19:00,8h 00m,1 stop,652
Pegasus Airlines,6/6/2022,TLV,FCO,SAW,6:55,13:45,7h 50m,1 stop,654
Aegean Airlines,6/6/2022,TLV,NAP,ATH,5:10,8:55,4h 45m,1 stop,697
ITA Airways,6/6/2022,TLV,FCO,,5:15,8:00,3h 45m,nonstop,705
ITA Airways,6/6/2022,TLV,VCE,FCO,5:15,10:30,6h 15m,1 stop,723
ITA Airways,6/6/2022,TLV,NAP,"FCO, LIN",5:15,12:35,8h 20m,2 stops,781
Pegasus Airlines,6/6/2022,TLV,FCO,SAW,6:55,13:45,7h 50m,1 stop,787
Pegasus Airlines,6/6/2022,TLV,FCO,SAW,5:10,13:45,9h 35m,1 stop,872
easyJet,6/6/2022,TLV,FCO,GVA,13:05,20:20,8h 15m,1 stop,906
Pegasus Airlines,6/6/2022,TLV,FCO,SAW,5:10,13:45,9h 35m,1 stop,"1,028"
ITA Airways,6/6/2022,TLV,NAP,FCO,15:15,22:45,8h 30m,1 stop,"1,030"
ITA Airways,6/6/2022,TLV,VCE,FCO,15:15,22:50,8h 35m,1 stop,"1,030"
Pegasus Airlines,6/6/2022,TLV,FCO,"AYT, SAW",6:00,13:45,8h 45m,2 stops,"1,048"
ITA Airways,6/6/2022,TLV,FCO,,15:15,18:00,3h 45m,nonstop,"1,052"
Turkish Airlines,6/6/2022,TLV,NAP,IST,0:50,8:50,9h 00m,1 stop,"1,169"
Turkish Airlines,6/6/2022,TLV,VCE,IST,0:50,8:30,8h 40m,1 stop,"1,240"
easyJet,6/6/2022,TLV,NAP,MXP,12:55,21:10,9h 15m,1 stop,"1,251"
Brussels Airlines,6/6/2022,TLV,VCE,BRU,16:05,22:50,7h 45m,1 stop,"1,316"
Austrian Airlines,6/6/2022,TLV,FCO,VIE,15:35,20:45,6h 10m,1 stop,"1,325"
Iberia,6/6/2022,TLV,FCO,MAD,5:30,14:00,9h 30m,1 stop,"1,333"
Lufthansa,6/6/2022,TLV,VCE,MUC,17:10,22:55,6h 45m,1 stop,"1,365"
Austrian Airlines,6/6/2022,TLV,VCE,VIE,6:15,14:10,8h 55m,1 stop,"1,371"
Austrian Airlines,6/6/2022,TLV,VCE,VIE,15:35,21:35,7h 00m,1 stop,"1,389"
Lufthansa,6/6/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,401"
Lufthansa,6/6/2022,TLV,FCO,FRA,16:30,23:25,7h 55m,1 stop,"1,435"
Brussels Airlines,6/6/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,479"
EL AL,6/6/2022,TLV,FCO,,6:05,8:45,3h 40m,nonstop,"1,505"
Ryanair,6/6/2022,TLV,NAP,BGY,13:10,21:35,9h 25m,1 stop,"1,507"
Lufthansa,6/6/2022,TLV,NAP,MUC,17:10,22:35,6h 25m,1 stop,"1,508"
Austrian Airlines,6/6/2022,TLV,NAP,VIE,6:15,14:05,8h 50m,1 stop,"1,553"
Lufthansa,6/6/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,597"
Turkish Airlines,6/6/2022,TLV,FCO,IST,4:50,10:00,6h 10m,1 stop,"1,648"
Vueling,6/6/2022,TLV,FCO,BCN,5:10,14:00,9h 50m,1 stop,"1,649"
Lufthansa,6/6/2022,TLV,NAP,MUC,17:10,22:35,6h 25m,1 stop,"1,663"
Iberia,6/6/2022,TLV,FCO,MAD,5:30,14:00,9h 30m,1 stop,"1,722"
Brussels Airlines,6/6/2022,TLV,NAP,MUC,17:10,22:35,6h 25m,1 stop,"1,766"
Vueling,6/6/2022,TLV,FCO,BCN,5:10,14:00,9h 50m,1 stop,"1,855"
EL AL,6/6/2022,TLV,NAP,FCO,6:05,14:45,9h 40m,1 stop,"1,919"
Brussels Airlines,6/6/2022,TLV,NAP,FRA,4:50,12:05,8h 15m,1 stop,"2,190"
Vueling,6/6/2022,TLV,FCO,BCN,5:10,14:00,9h 50m,1 stop,"2,318"
KLM,6/6/2022,TLV,FCO,AMS,4:45,11:50,8h 05m,1 stop,"2,366"
Lufthansa,6/6/2022,TLV,NAP,FRA,4:50,12:05,8h 15m,1 stop,"2,371"
Lufthansa,6/6/2022,TLV,NAP,"FRA, MUC",8:00,16:45,9h 45m,2 stops,"3,306"
Wizz Air,6/6/2022,TLV,FCO,,11:05,13:55,3h 50m,nonstop,388
Wizz Air,6/6/2022,TLV,FCO,,11:05,13:55,3h 50m,nonstop,350
Wizz Air,6/6/2022,TLV,NAP,SOF,9:40,14:05,5h 25m,1 stop,303
Arkia,6/6/2022,TLV,FCO,,7:25,10:05,3h 40m,nonstop,530
Aegean Airlines,6/6/2022,TLV,FCO,ATH,5:10,9:35,5h 25m,1 stop,610
Aegean Airlines,6/6/2022,TLV,NAP,ATH,5:10,8:55,4h 45m,1 stop,697
ITA Airways,6/6/2022,TLV,FCO,,5:15,8:00,3h 45m,nonstop,705
LOT,6/6/2022,TLV,VCE,WAW,5:05,11:20,7h 15m,1 stop,599
Pegasus Airlines,6/6/2022,TLV,FCO,SAW,6:55,13:45,7h 50m,1 stop,654
ITA Airways,6/6/2022,TLV,VCE,FCO,5:15,10:30,6h 15m,1 stop,723
ITA Airways,6/6/2022,TLV,FCO,,15:15,18:00,3h 45m,nonstop,"1,052"
Ryanair,6/6/2022,TLV,VCE,VIE,12:00,20:35,9h 35m,1 stop,454
Ryanair,6/6/2022,TLV,FCO,VIE,12:00,19:25,8h 25m,1 stop,538
Wizz Air,6/6/2022,TLV,FCO,WAW,11:30,20:10,9h 40m,1 stop,569
Ryanair,6/6/2022,TLV,NAP,VIE,12:00,19:00,8h 00m,1 stop,652
ITA Airways,6/6/2022,TLV,NAP,"FCO, LIN",5:15,12:35,8h 20m,2 stops,781
Pegasus Airlines,6/6/2022,TLV,FCO,SAW,6:55,13:45,7h 50m,1 stop,787
Pegasus Airlines,6/6/2022,TLV,FCO,SAW,5:10,13:45,9h 35m,1 stop,872
easyJet,6/6/2022,TLV,FCO,GVA,13:05,20:20,8h 15m,1 stop,906
